Entity;Code;Year;Trade_(%_of_GDP);Total_import_as_a_share_of_GDP;Trade_in_services_(%_of_GDP)_;Total_natural_resources_rents_(%_of_GDP)
Democratic Republic of Congo;COD;1994;42.516.724;14.019.399;null;23563374
Democratic Republic of Congo;COD;1995;5.220.853;20.192.614;null;3629214
Democratic Republic of Congo;COD;1996;60.316.257;19.466.288;null;36299034
Democratic Republic of Congo;COD;1997;33.75;16.133.291;null;32227806
Democratic Republic of Congo;COD;1998;62.679.306;13.899.069;null;321829
Democratic Republic of Congo;COD;1999;4.117.766;13.417.492;null;28496578
Democratic Republic of Congo;COD;2000;27.014.402;8.067.428;null;75112605
Democratic Republic of Congo;COD;2001;25.041.937;14.352.582;null;1842001
Democratic Republic of Congo;COD;2002;29.316.845;13.522.174;null;18867685
Democratic Republic of Congo;COD;2003;54.031.357;138.122.015;null;29553356
Democratic Republic of Congo;COD;2004;49.336.414;13.993.473;null;24086422
Democratic Republic of Congo;COD;2005;52.314.606;21.529.543;12.640.745;23742865
Democratic Republic of Congo;COD;2006;4.796.326;21.454.844;9.263.141;24025816
Democratic Republic of Congo;COD;2007;8.014.205;25.940.798;12.009.269;25763708
Democratic Republic of Congo;COD;2008;8.377.229;33.953.102;1.479.545;28458406
Democratic Republic of Congo;COD;2009;6.294.688;22.719.587;13.229.036;282618
Democratic Republic of Congo;COD;2010;9.074.761;24.878.645;14.148.843;25960884
Democratic Republic of Congo;COD;2011;8.519.814;2.779.505;14.043.101;28883047
Democratic Republic of Congo;COD;2012;68.351.715;31.410.717;8.937.584;2712297
Democratic Republic of Congo;COD;2013;7.746.594;27.442.417;8.847.617;2574622
Democratic Republic of Congo;COD;2014;7.869.015;24.028.732;9.460.013;24556877
Democratic Republic of Congo;COD;2015;5.933.243;21.267.273;6.237.168;20109392
Democratic Republic of Congo;COD;2016;5.592.521;27.868.753;59.706.025;20572123
Democratic Republic of Congo;COD;2017;7.429.138;18.407;48.154.573;24765656
Democratic Republic of Congo;COD;2018;6.991.973;26.695.482;61.312.685;18416777
Democratic Republic of Congo;COD;2019;55.235.157;21.524.715;46.391.015;12750058
Democratic Republic of Congo;COD;2020;58.491.756;2.206.542;58.193.955;15928197
Democratic Republic of Congo;COD;2021;8.048.131;13.037.498;74.401.903;38827267
Democratic Republic of Congo;COD;2022;9.372.867;1.737.889;7.705.016;null
Democratic Republic of Congo;COD;2023;90.412.415;38.044.666;8.550.626;null
Democratic Republic of Congo;COD;2024;97.494.644;31.589.256;null;null
Kenya;KEN;1960;64.765.854;26.931.543;null;null
Kenya;KEN;1961;63.847.122;26.432.625;null;null
Kenya;KEN;1962;62.162.964;25.549.717;null;null
Kenya;KEN;1963;60.995.712;24.725.084;null;null
Kenya;KEN;1964;62.601.643;17.721.987;null;null
Kenya;KEN;1965;6.209.317;21.204.119;null;null
Kenya;KEN;1966;63.284.435;23.099.653;null;null
Kenya;KEN;1967;57.837.345;20.161.299;null;null
Kenya;KEN;1968;5.869.817;22.837.437;null;null
Kenya;KEN;1969;57.617.355;21.857.618;null;null
Kenya;KEN;1970;60.489.643;24.366.251;null;32630692
Kenya;KEN;1971;63.828.465;28.239.904;null;25376384
Kenya;KEN;1972;55.314.907;22.075.054;null;23585944
Kenya;KEN;1973;56.062.847;21.352.959;null;33772416
Kenya;KEN;1974;745.734;30.272.541;null;33078904
Kenya;KEN;1975;64.335.266;25.613.888;16.934.069;41821814
Kenya;KEN;1976;6.420.611;24.372.332;1.707.141;36935596
Kenya;KEN;1977;6.655.196;23.806.004;14.710.468;50304227
Kenya;KEN;1978;6.762.354;2.504.878;16.482.658;46449666
Kenya;KEN;1979;57.364.174;22.745.668;13.430.178;4054322
Kenya;KEN;1980;65.416.794;3.163.656;14.967.537;4142263
Kenya;KEN;1981;6.428.019;26.934.017;15.699.174;38683453
Kenya;KEN;1982;58.215.736;22.194.984;14.994.064;57592964
Kenya;KEN;1983;54.162.704;20.580.803;14.333.063;4184525
Kenya;KEN;1984;58.803.898;21.253.273;14.902.076;39090247
Kenya;KEN;1985;55.445.435;20.524.963;15.317.682;32487257
Kenya;KEN;1986;55.741.386;19.539.736;14.700.299;41205
Kenya;KEN;1987;47.702.766;19.494.837;15.623.404;39052126
Kenya;KEN;1988;49.974.983;21.023.611;159.053.135;39152315
Kenya;KEN;1989;53.156.376;229.018;18.416.811;4189091
Kenya;KEN;1990;57.020.912;20.567.875;21.440.832;49638987
Kenya;KEN;1991;555.977;21.551.609;20.206.701;51987486
Kenya;KEN;1992;5.293.087;21.077.831;19.852.016;53778114
Kenya;KEN;1993;7.285.848;265.929;3.969.096;6771411
Kenya;KEN;1994;7.126.613;2.915.279;38.358.707;63377976
Kenya;KEN;1995;7.174.574;34.934.395;30.162.577;72862477
Kenya;KEN;1996;5.731.211;22.029.408;21.041.365;54907627
Kenya;KEN;1997;54.057.117;24.265.362;25.838.984;4732982
Kenya;KEN;1998;48.897.243;23.306.992;26.955.414;45343933
Kenya;KEN;1999;48.192.276;23.903.347;31.141.745;32687073
Kenya;KEN;2000;53.309.044;25.514.818;13.681.388;33139675
Kenya;KEN;2001;55.946.835;27.130.466;15.064.087;31416206
Kenya;KEN;2002;55.172.672;2.367.713;13.553.725;3739544
Kenya;KEN;2003;54.132.267;23.617.252;12.790.806;50854216
Kenya;KEN;2004;59.477.005;5.660.703;15.621.322;4123678
Kenya;KEN;2005;6.447.887;31.109.043;16.197.283;40769362
Kenya;KEN;2006;55.236.485;27.792.868;14.929.835;29504185
Kenya;KEN;2007;5.389.479;27.893.242;14.487.408;36338985
Kenya;KEN;2008;57.578.598;3.236.984;1.444.613;36388688
Kenya;KEN;2009;4.594.519;23.302.488;1.117.774;32457237
Kenya;KEN;2010;50.394.287;25.250.257;12.908.784;26730793
Kenya;KEN;2011;58.402.206;30.939.173;13.384.797;29431872
Kenya;KEN;2012;5.162.369;28.354.334;1.308.905;2908883
Kenya;KEN;2013;4.746.464;2.609.466;11.900.003;26694021
Kenya;KEN;2014;4.617.049;26.444.572;122.628;26431093
Kenya;KEN;2015;40.327.385;22.895.554;11.350.213;270967
Kenya;KEN;2016;3.486.502;1.884.263;9.219.461;26583984
Kenya;KEN;2017;35.995.056;20.331.865;9.434.231;2314356
Kenya;KEN;2018;34.414.753;18.898.018;10.150.003;13613247
Kenya;KEN;2019;31.759.462;1.713.498;941.965;12271842
Kenya;KEN;2020;27.237.816;154.271;69.295.816;1268812
Kenya;KEN;2021;30.824.303;17.830.153;828.167;12279285
Kenya;KEN;2022;3.369.114;18.407.173;10.308.065;null
Kenya;KEN;2023;3.209.208;17.202.543;9.449.154;null
Kenya;KEN;2024;30.293.299;12.149.876;null;null
Rwanda;RWA;1960;22.521.004;null;null;null
Rwanda;RWA;1961;21.311.472;null;null;null
Rwanda;RWA;1962;22.079.998;null;null;null
Rwanda;RWA;1963;18.593.752;null;null;null
Rwanda;RWA;1964;24.615.385;2.846.154;null;null
Rwanda;RWA;1965;29.032.263;389.785;null;null
Rwanda;RWA;1966;31.277.536;8.833.518;null;null
Rwanda;RWA;1967;25.925.041;77.713.704;null;null
Rwanda;RWA;1968;23.879.208;87.108;null;null
Rwanda;RWA;1969;22.034.971;9.114.996;null;null
Rwanda;RWA;1970;26.739.426;9.367.894;null;8509226
Rwanda;RWA;1971;27.080.523;10.046.983;null;7162882
Rwanda;RWA;1972;24.537.445;68.977.313;null;74611464
Rwanda;RWA;1973;25.040.985;77.799.826;null;11254202
Rwanda;RWA;1974;33.507.675;13.332.753;null;12863239
Rwanda;RWA;1975;26.871.328;11.902.491;null;9104727
Rwanda;RWA;1976;3.397.446;1.157.249;null;75170674
Rwanda;RWA;1977;31.927.965;10.653.577;null;12721471
Rwanda;RWA;1978;3.858.112;12.918.828;null;10955652
Rwanda;RWA;1979;4.379.744;11.830.663;null;8065241
Rwanda;RWA;1980;40.818.596;14.469.954;null;8895766
Rwanda;RWA;1981;31.580.235;14.218.415;null;6818114
Rwanda;RWA;1982;3.570.305;13.415.876;null;9337139
Rwanda;RWA;1983;32.340.755;12.261.102;null;59102736
Rwanda;RWA;1984;32.295.692;11.140.075;null;5287495
Rwanda;RWA;1985;30.669.895;11.305.901;null;3666745
Rwanda;RWA;1986;32.738.834;1.357.657;null;4909083
Rwanda;RWA;1987;26.591.282;12.328.449;null;425486
Rwanda;RWA;1988;24.222.847;11.422.536;null;4164756
Rwanda;RWA;1989;23.427.773;9.335.464;null;4758145
Rwanda;RWA;1990;19.684.158;8.486.441;null;4725832
Rwanda;RWA;1991;25.371.973;12.399.036;null;6406209
Rwanda;RWA;1992;23.831.448;10.765.259;null;60994787
Rwanda;RWA;1993;25.679.007;10.838.537;null;4955066
Rwanda;RWA;1994;7.109.563;2.556.171;null;16235678
Rwanda;RWA;1995;30.972.174;17.828.606;null;12582017
Rwanda;RWA;1996;32.230.064;18.688.263;null;125562105
Rwanda;RWA;1997;3.346.746;15.334.319;null;11128919
Rwanda;RWA;1998;28.794.464;11.562.847;null;10874303
Rwanda;RWA;1999;27.333.536;101.440.735;null;6481645
Rwanda;RWA;2000;27.484.863;12.720.912;null;50349655
Rwanda;RWA;2001;2.919.891;14.169.604;null;53751054
Rwanda;RWA;2002;27.609.438;12.858.985;null;64377694
Rwanda;RWA;2003;29.310.625;12.226.042;null;907683
Rwanda;RWA;2004;33.461.674;13.034.364;null;70204396
Rwanda;RWA;2005;34.216.537;12.755.644;null;59570255
Rwanda;RWA;2006;33.221.436;1.707.672;null;5296492
Rwanda;RWA;2007;35.970.974;15.418.195;null;6225724
Rwanda;RWA;2008;3.760.451;22.061.388;null;8305801
Rwanda;RWA;2009;3.680.563;19.587.423;null;6935423
Rwanda;RWA;2010;37.278.877;20.386.023;15.760.811;64865527
Rwanda;RWA;2011;39.716.103;22.204.725;15.947.738;6995657
Rwanda;RWA;2012;40.540.863;19.821.465;13.578.191;63942327
Rwanda;RWA;2013;42.693.493;25.350.365;15.287.971;6504756
Rwanda;RWA;2014;43.902.733;26.624.098;15.378.721;6452155
Rwanda;RWA;2015;45.201.977;21.578.857;20.916.643;5778139
Rwanda;RWA;2016;49.484.905;20.356.054;20.994.467;5998621
Rwanda;RWA;2017;53.675.266;19.247.234;20.746.813;601493
Rwanda;RWA;2018;55.784.126;3.041.178;20.449.093;4713876
Rwanda;RWA;2019;57.975.662;30.858.448;1.978.394;38170903
Rwanda;RWA;2020;5.518.795;41.316.677;10.233.729;41048183
Rwanda;RWA;2021;5.429.383;30.104.673;11.240.636;4017236
Rwanda;RWA;2022;6.114.508;28.062.588;13.208.449;null
Rwanda;RWA;2023;64.906.906;26.958.176;13.897.004;null
Rwanda;RWA;2024;69.954.414;3.221.329;null;null
Tanzania;TZA;1990;3.448.361;15.451.454;6.764.731;11499738
Tanzania;TZA;1991;30.231.623;16.098.938;6.146.461;10016387
Tanzania;TZA;1992;35.667.797;21.700.321;765.074;1141063
Tanzania;TZA;1993;45.236.496;22.184.877;1.673.805;1072643
Tanzania;TZA;1994;44.236.767;2.191.723;14.068.483;11613134
Tanzania;TZA;1995;4.516.192;23.232.796;18.108.932;14046666
Tanzania;TZA;1996;35.726.505;1.784.921;16.552.322;11299023
Tanzania;TZA;1997;28.858.784;12.506.324;11.574.315;8873321
Tanzania;TZA;1998;26.143.642;12.792.007;12.676.174;57296414
Tanzania;TZA;1999;25.022.055;13.058.865;1.098.288;37682076
Tanzania;TZA;2000;23.989.115;11.352.714;9.795.283;37553358
Tanzania;TZA;2001;28.030.144;12.752.132;11.536.003;40441246
Tanzania;TZA;2002;27.499.218;11.811.899;10.988.731;48574734
Tanzania;TZA;2003;30.448.835;1.421.406;11.001.258;6862737
Tanzania;TZA;2004;33.609.787;15.321.171;12.645.232;5354294
Tanzania;TZA;2005;36.959.274;17.645.191;13.462.535;4993588
Tanzania;TZA;2006;42.768.166;24.299.587;14.916.358;55219636
Tanzania;TZA;2007;48.058.395;27.064.285;15.047.371;62061033
Tanzania;TZA;2008;49.026.543;28.859.617;13.098.034;50765953
Tanzania;TZA;2009;435.326;22.204.185;12.165.051;55362563
