"Country";"Year";"Commodity";"Physical_Extraction_Intensity";"Total_Trade_GDP";"Natural_Resource_Rents";"Mineral_Depletion_GNI";"Mineral_Depletion_GTIN"
"Democratic Republic of Congo";"2024";"Copper";"513";"97.494.644";"null";"";""
"Democratic Republic of Congo";"2024";"Gold";"3046349";"97.494.644";"null";"";""
"Democratic Republic of Congo";"2024";"Zinc";"71";"97.494.644";"null";"";""
"Democratic Republic of Congo";"2024";"Tin";"2231";"97.494.644";"null";"";""
"Democratic Republic of Congo";"2024";"Lead";"50";"97.494.644";"null";"";""
"Democratic Republic of Congo";"2023";"Copper";"513";"90.412.415";"null";"";""
"Democratic Republic of Congo";"2023";"Gold";"3046349";"90.412.415";"null";"";""
"Democratic Republic of Congo";"2023";"Zinc";"71";"90.412.415";"null";"";""
"Democratic Republic of Congo";"2023";"Tin";"2231";"90.412.415";"null";"";""
"Democratic Republic of Congo";"2023";"Lead";"50";"90.412.415";"null";"";""
"Democratic Republic of Congo";"2022";"Copper";"513";"9.372.867";"null";"";""
"Democratic Republic of Congo";"2022";"Gold";"3046349";"9.372.867";"null";"";""
"Democratic Republic of Congo";"2022";"Zinc";"71";"9.372.867";"null";"";""
"Democratic Republic of Congo";"2022";"Tin";"2231";"9.372.867";"null";"";""
"Democratic Republic of Congo";"2022";"Lead";"50";"9.372.867";"null";"";""
"Democratic Republic of Congo";"2021";"Copper";"513";"8.048.131";"38827267";"22.6603619759269";"226603619759269,00"
"Democratic Republic of Congo";"2021";"Gold";"3046349";"8.048.131";"38827267";"22.6603619759269";"226603619759269,00"
"Democratic Republic of Congo";"2021";"Zinc";"71";"8.048.131";"38827267";"22.6603619759269";"226603619759269,00"
"Democratic Republic of Congo";"2021";"Tin";"2231";"8.048.131";"38827267";"22.6603619759269";"226603619759269,00"
"Democratic Republic of Congo";"2021";"Lead";"50";"8.048.131";"38827267";"22.6603619759269";"226603619759269,00"
"Democratic Republic of Congo";"2020";"Copper";"513";"58.491.756";"15928197";"4.64706050471313";"464706050471313,00"
"Democratic Republic of Congo";"2020";"Gold";"3046349";"58.491.756";"15928197";"4.64706050471313";"464706050471313,00"
"Democratic Republic of Congo";"2020";"Zinc";"71";"58.491.756";"15928197";"4.64706050471313";"464706050471313,00"
"Democratic Republic of Congo";"2020";"Tin";"2231";"58.491.756";"15928197";"4.64706050471313";"464706050471313,00"
"Democratic Republic of Congo";"2020";"Lead";"50";"58.491.756";"15928197";"4.64706050471313";"464706050471313,00"
"Democratic Republic of Congo";"2019";"Copper";"513";"55.235.157";"12750058";"0.965558413942481";"965558413942481,00"
"Democratic Republic of Congo";"2019";"Gold";"3046349";"55.235.157";"12750058";"0.965558413942481";"965558413942481,00"
"Democratic Republic of Congo";"2019";"Zinc";"71";"55.235.157";"12750058";"0.965558413942481";"965558413942481,00"
"Democratic Republic of Congo";"2019";"Tin";"2231";"55.235.157";"12750058";"0.965558413942481";"965558413942481,00"
"Democratic Republic of Congo";"2019";"Lead";"50";"55.235.157";"12750058";"0.965558413942481";"965558413942481,00"
"Democratic Republic of Congo";"2018";"Copper";"513";"6.991.973";"18416777";"6.35448409364924";"635448409364924,00"
"Democratic Republic of Congo";"2018";"Gold";"3046349";"6.991.973";"18416777";"6.35448409364924";"635448409364924,00"
"Democratic Republic of Congo";"2018";"Zinc";"71";"6.991.973";"18416777";"6.35448409364924";"635448409364924,00"
"Democratic Republic of Congo";"2018";"Tin";"2231";"6.991.973";"18416777";"6.35448409364924";"635448409364924,00"
"Democratic Republic of Congo";"2018";"Lead";"50";"6.991.973";"18416777";"6.35448409364924";"635448409364924,00"
"Democratic Republic of Congo";"2017";"Copper";"513";"7.429.138";"24765656";"1.0961600485824";"10961600485824,00"
"Democratic Republic of Congo";"2017";"Gold";"3046349";"7.429.138";"24765656";"1.0961600485824";"10961600485824,00"
"Democratic Republic of Congo";"2017";"Zinc";"71";"7.429.138";"24765656";"1.0961600485824";"10961600485824,00"
"Democratic Republic of Congo";"2017";"Tin";"2231";"7.429.138";"24765656";"1.0961600485824";"10961600485824,00"
"Democratic Republic of Congo";"2017";"Lead";"50";"7.429.138";"24765656";"1.0961600485824";"10961600485824,00"
"Democratic Republic of Congo";"2016";"Copper";"513";"5.592.521";"20572123";"1.75595798960476";"175595798960476,00"
"Democratic Republic of Congo";"2016";"Gold";"3046349";"5.592.521";"20572123";"1.75595798960476";"175595798960476,00"
"Democratic Republic of Congo";"2016";"Zinc";"71";"5.592.521";"20572123";"1.75595798960476";"175595798960476,00"
"Democratic Republic of Congo";"2016";"Tin";"2231";"5.592.521";"20572123";"1.75595798960476";"175595798960476,00"
"Democratic Republic of Congo";"2016";"Lead";"50";"5.592.521";"20572123";"1.75595798960476";"175595798960476,00"
"Democratic Republic of Congo";"2015";"Copper";"513";"5.933.243";"20109392";"2.5981122948294";"25981122948294,00"
"Democratic Republic of Congo";"2015";"Gold";"3046349";"5.933.243";"20109392";"2.5981122948294";"25981122948294,00"
"Democratic Republic of Congo";"2015";"Zinc";"71";"5.933.243";"20109392";"2.5981122948294";"25981122948294,00"
"Democratic Republic of Congo";"2015";"Tin";"2231";"5.933.243";"20109392";"2.5981122948294";"25981122948294,00"
"Democratic Republic of Congo";"2015";"Lead";"50";"5.933.243";"20109392";"2.5981122948294";"25981122948294,00"
"Democratic Republic of Congo";"2014";"Copper";"513";"7.869.015";"24556877";"5.51676072300578";"551676072300578,00"
"Democratic Republic of Congo";"2014";"Gold";"3046349";"7.869.015";"24556877";"5.51676072300578";"551676072300578,00"
"Democratic Republic of Congo";"2014";"Zinc";"71";"7.869.015";"24556877";"5.51676072300578";"551676072300578,00"
"Democratic Republic of Congo";"2014";"Tin";"2231";"7.869.015";"24556877";"5.51676072300578";"551676072300578,00"
"Democratic Republic of Congo";"2014";"Lead";"50";"7.869.015";"24556877";"5.51676072300578";"551676072300578,00"
"Democratic Republic of Congo";"2013";"Copper";"513";"7.746.594";"2574622";"6.03646928964895";"603646928964895,00"
"Democratic Republic of Congo";"2013";"Gold";"3046349";"7.746.594";"2574622";"6.03646928964895";"603646928964895,00"
"Democratic Republic of Congo";"2013";"Zinc";"71";"7.746.594";"2574622";"6.03646928964895";"603646928964895,00"
"Democratic Republic of Congo";"2013";"Tin";"2231";"7.746.594";"2574622";"6.03646928964895";"603646928964895,00"
"Democratic Republic of Congo";"2013";"Lead";"50";"7.746.594";"2574622";"6.03646928964895";"603646928964895,00"
"Democratic Republic of Congo";"2012";"Copper";"513";"68.351.715";"2712297";"4.93627649411554";"493627649411554,00"
"Democratic Republic of Congo";"2012";"Gold";"3046349";"68.351.715";"2712297";"4.93627649411554";"493627649411554,00"
"Democratic Republic of Congo";"2012";"Zinc";"71";"68.351.715";"2712297";"4.93627649411554";"493627649411554,00"
"Democratic Republic of Congo";"2012";"Tin";"2231";"68.351.715";"2712297";"4.93627649411554";"493627649411554,00"
"Democratic Republic of Congo";"2012";"Lead";"50";"68.351.715";"2712297";"4.93627649411554";"493627649411554,00"
"Democratic Republic of Congo";"2011";"Copper";"513";"8.519.814";"28883047";"5.53212841275285";"553212841275285,00"
"Democratic Republic of Congo";"2011";"Gold";"3046349";"8.519.814";"28883047";"5.53212841275285";"553212841275285,00"
"Democratic Republic of Congo";"2011";"Zinc";"71";"8.519.814";"28883047";"5.53212841275285";"553212841275285,00"
"Democratic Republic of Congo";"2011";"Tin";"2231";"8.519.814";"28883047";"5.53212841275285";"553212841275285,00"
"Democratic Republic of Congo";"2011";"Lead";"50";"8.519.814";"28883047";"5.53212841275285";"553212841275285,00"
"Democratic Republic of Congo";"2010";"Copper";"513";"9.074.761";"25960884";"3.09750812929881";"309750812929881,00"
"Democratic Republic of Congo";"2010";"Gold";"3046349";"9.074.761";"25960884";"3.09750812929881";"309750812929881,00"
"Democratic Republic of Congo";"2010";"Zinc";"71";"9.074.761";"25960884";"3.09750812929881";"309750812929881,00"
"Democratic Republic of Congo";"2010";"Tin";"2231";"9.074.761";"25960884";"3.09750812929881";"309750812929881,00"
"Democratic Republic of Congo";"2010";"Lead";"50";"9.074.761";"25960884";"3.09750812929881";"309750812929881,00"
"Democratic Republic of Congo";"2009";"Copper";"513";"6.294.688";"282618";"1.70169462453907";"170169462453907,00"
"Democratic Republic of Congo";"2009";"Gold";"3046349";"6.294.688";"282618";"1.70169462453907";"170169462453907,00"
"Democratic Republic of Congo";"2009";"Zinc";"71";"6.294.688";"282618";"1.70169462453907";"170169462453907,00"
"Democratic Republic of Congo";"2009";"Tin";"2231";"6.294.688";"282618";"1.70169462453907";"170169462453907,00"
"Democratic Republic of Congo";"2009";"Lead";"50";"6.294.688";"282618";"1.70169462453907";"170169462453907,00"
"Democratic Republic of Congo";"2008";"Copper";"513";"8.377.229";"28458406";"1.69599160212922";"169599160212922,00"
"Democratic Republic of Congo";"2008";"Gold";"3046349";"8.377.229";"28458406";"1.69599160212922";"169599160212922,00"
"Democratic Republic of Congo";"2008";"Zinc";"71";"8.377.229";"28458406";"1.69599160212922";"169599160212922,00"
"Democratic Republic of Congo";"2008";"Tin";"2231";"8.377.229";"28458406";"1.69599160212922";"169599160212922,00"
"Democratic Republic of Congo";"2008";"Lead";"50";"8.377.229";"28458406";"1.69599160212922";"169599160212922,00"
"Democratic Republic of Congo";"2007";"Copper";"513";"8.014.205";"25763708";"0.722497720971455";"722497720971455,00"
"Democratic Republic of Congo";"2007";"Gold";"3046349";"8.014.205";"25763708";"0.722497720971455";"722497720971455,00"
"Democratic Republic of Congo";"2007";"Zinc";"71";"8.014.205";"25763708";"0.722497720971455";"722497720971455,00"
"Democratic Republic of Congo";"2007";"Tin";"2231";"8.014.205";"25763708";"0.722497720971455";"722497720971455,00"
"Democratic Republic of Congo";"2007";"Lead";"50";"8.014.205";"25763708";"0.722497720971455";"722497720971455,00"
"Democratic Republic of Congo";"2006";"Copper";"513";"4.796.326";"24025816";"1.39844190594268";"139844190594268,00"
"Democratic Republic of Congo";"2006";"Gold";"3046349";"4.796.326";"24025816";"1.39844190594268";"139844190594268,00"
"Democratic Republic of Congo";"2006";"Zinc";"71";"4.796.326";"24025816";"1.39844190594268";"139844190594268,00"
"Democratic Republic of Congo";"2006";"Tin";"2231";"4.796.326";"24025816";"1.39844190594268";"139844190594268,00"
"Democratic Republic of Congo";"2006";"Lead";"50";"4.796.326";"24025816";"1.39844190594268";"139844190594268,00"
"Democratic Republic of Congo";"2005";"Copper";"513";"52.314.606";"23742865";"0.321173010843284";"321173010843284,00"
"Democratic Republic of Congo";"2005";"Gold";"3046349";"52.314.606";"23742865";"0.321173010843284";"321173010843284,00"
"Democratic Republic of Congo";"2005";"Zinc";"71";"52.314.606";"23742865";"0.321173010843284";"321173010843284,00"
"Democratic Republic of Congo";"2005";"Tin";"2231";"52.314.606";"23742865";"0.321173010843284";"321173010843284,00"
"Democratic Republic of Congo";"2005";"Lead";"50";"52.314.606";"23742865";"0.321173010843284";"321173010843284,00"
"Democratic Republic of Congo";"2004";"Copper";"513";"49.336.414";"24086422";"0.11347332266743";"11347332266743,00"
"Democratic Republic of Congo";"2004";"Gold";"3046349";"49.336.414";"24086422";"0.11347332266743";"11347332266743,00"
"Democratic Republic of Congo";"2004";"Zinc";"71";"49.336.414";"24086422";"0.11347332266743";"11347332266743,00"
"Democratic Republic of Congo";"2004";"Tin";"2231";"49.336.414";"24086422";"0.11347332266743";"11347332266743,00"
"Democratic Republic of Congo";"2004";"Lead";"50";"49.336.414";"24086422";"0.11347332266743";"11347332266743,00"
