Period;Value;HS_Commodity;Trade_Flow;Indicator;Reporter_Country;Partner_Country
Mar 2020;0;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Mar 2020;0;2601 - Iron ores and concentrates, including roasted iron pyrites.;Total Imports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Mar 2020;0;26011200 - Iron ores and concentrates, including roasted iron pyrites. - Iron ores and concentrates, other than roasted iron pyrites: -- Agglomerated;Total Imports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Sep 2021;0;2603 - Copper ores and concentrates.;Total Imports;Net Weight(Kg);United Republic of Tanzania;SADC
Nov 2020;0;2616 - Precious metal ores and concentrates.;Total Imports;Net Weight(Kg);United Republic of Tanzania;SADC
Jul 2025;0;2504 - Natural graphite.;Total Imports;Quantity;DR Congo;European Union All Countries
Aug 2025;0;26 - Ores, slag and ash.;Total Exports;Quantity;DR Congo;ASEAN
Aug 2025;0;26 - Ores, slag and ash.;Total Exports;Quantity;DR Congo;SADC
Sep 2025;0;26 - Ores, slag and ash.;Total Exports;Quantity;DR Congo;SADC
Oct 2025;0;26 - Ores, slag and ash.;Total Exports;Quantity;DR Congo;SADC
Mar 2020;0;26 - Ores, slag and ash.;Total Imports;Quantity;United Republic of Tanzania;European Union All Countries
Mar 2020;0;2601 - Iron ores and concentrates, including roasted iron pyrites.;Total Imports;Quantity;United Republic of Tanzania;European Union All Countries
Mar 2020;0;26011200 - Iron ores and concentrates, including roasted iron pyrites. - Iron ores and concentrates, other than roasted iron pyrites: -- Agglomerated;Total Imports;Quantity;United Republic of Tanzania;European Union All Countries
Aug 2025;0;2603 - Copper ores and concentrates.;Total Exports;Quantity;DR Congo;ASEAN
Sep 2025;0;2603 - Copper ores and concentrates.;Total Imports;Quantity;DR Congo;SADC
Sep 2021;0;2603 - Copper ores and concentrates.;Total Imports;Quantity;United Republic of Tanzania;SADC
Jan 2022;0;2604 - Nickel ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;SADC
Jul 2025;0;2608 - Zinc ores and concentrates.;Total Exports;Quantity;DR Congo;SADC
Aug 2025;0;2608 - Zinc ores and concentrates.;Total Exports;Quantity;DR Congo;SADC
Sep 2025;0;2608 - Zinc ores and concentrates.;Total Exports;Quantity;DR Congo;SADC
Oct 2025;0;2608 - Zinc ores and concentrates.;Total Exports;Quantity;DR Congo;SADC
Sep 2025;0;2609 - Tin ores and concentrates.;Total Imports;Quantity;DR Congo;European Union All Countries
Nov 2020;0;2616 - Precious metal ores and concentrates.;Total Imports;Quantity;United Republic of Tanzania;SADC
