Period,HS_Commodity,Trade_Flow,Reporter_Country,Partner_Country,CIF_Value_USD,FOB_Value_USD,Net_Weight_Kg,Quantity_Units,Unit_Value,HS_Level
Dec 2024,2504 - Natural graphite.,Total Imports,DR Congo,SADC,1793548.0,0.0,250.0,0.0,7174.191971303232,4.0
Jul 2025,2504 - Natural graphite.,Total Imports,DR Congo,European Union All Countries,89521452.0,0.0,4140.0,0.0,21623.539125211704,4.0
Jun 2023,2504 - Natural graphite.,Total Imports,DR Congo,SADC,30300629.0,0.0,190.0,0.0,159476.9938974895,4.0
May 2025,2504 - Natural graphite.,Total Imports,DR Congo,European Union All Countries,39753018.0,0.0,1300.0,0.0,30579.24459186212,4.0
Apr 2020,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,5535359986.0,5376000.0,110.0,1029.6428545384988,4.0
Apr 2020,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,1372210001.0,2017080.0,110.0,680.2952788185495,4.0
Apr 2020,2603 - Copper ores and concentrates.,Total Imports,DR Congo,SADC,2081228737.0,0.0,101300440.0,110.0,20.54511053456411,4.0
Apr 2021,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,1148299348.0,8940760.0,80.0,128.43419888240726,4.0
Apr 2022,2603 - Copper ores and concentrates.,Total Exports,DR Congo,ASEAN,0.0,4427814015.0,42479470.0,110.0,104.23421043153073,4.0
Apr 2022,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,4074394984.0,39038650.0,110.0,104.3682346597512,4.0
Apr 2023,2603 - Copper ores and concentrates.,Total Exports,DR Congo,ASEAN,0.0,8998976009.0,26032200.0,110.0,345.686342644865,4.0
Apr 2023,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,3747402329.0,41346020.0,110.0,90.63514043189429,4.0
Apr 2024,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,300727.0,2270.0,110.0,132.47885456718993,4.0
Apr 2024,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,1302818.0,7700.0,110.0,169.1971428351692,4.0
Apr 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,ASEAN,0.0,107104453.0,33990000.0,110.0,3.1510577522799896,4.0
Apr 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,99999.0,10.0,110.0,9999.8990000101,4.0
Apr 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,1941510793.0,59134453.0,110.0,32.8321425920684,4.0
Aug 2020,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,156004.0,60.0,140.0,2600.066623332223,4.0
Aug 2020,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,4124969995.0,4753470.0,110.0,867.7807990792268,4.0
Aug 2020,2603 - Copper ores and concentrates.,Total Imports,DR Congo,SADC,1246856005.0,0.0,62090200.0,110.0,20.08136557782033,4.0
